,పేరు,పుస్తకం,రకం,ప్రచురణ తేది
276,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి,చిన్నకథలు 4,కథా సంపుటం,1954-01-01
277,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి,నిలువు చెంబు,కథా సంపుటం,2008-09-01
278,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి,పురాణగాధలు 1,కథా సంపుటం,1949-01-01
279,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి,పుల్లంపేట జరీచీర,కథా సంపుటం,2005-01-01
280,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి,పూలదండ,కథా సంపుటం,1925-04-01
281,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి కథలు 1,కథా సంపుటం,1992-01-01
282,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి కథలు 2,కథా సంపుటం,1992-01-01
283,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి,శ్రీపాద సుబ్రహ్మణ్యశాస్త్రి కథలు 3,కథా సంపుటం,1992-01-01
284,వత్సల,కధంబం,కథా సంకలనం,2005-01-01
285,పంజాల జగన్నాథం,అనివార్యం,కథా సంపుటం,2013-08-01
286,పంజాల జగన్నాథం,నడుస్తున్న చరిత్ర,కథా సంపుటం,0
287,పంజాల జగన్నాథం,మట్టి వాసనలు,కథా సంపుటం,2004-01-01
288,బులుసు వెంకట కామేశ్వరరావు,బందరు కథంబం,కథా సంకలనం,2003-06-01
289,బులుసు వెంకట కామేశ్వరరావు,బందరు కథంబం,కథా సంకలనం,2005-01-01
290,బులుసు వెంకట కామేశ్వరరావు,బందరు కదంబం,కథా సంకలనం,2007-01-01
291,యల్లకర్ర ప్రభావతి,యుగధర్మం,కథా సంపుటం,1999-03-01
292,రేవనూరి శమంత,ముక్తి ఇతర కథలు,కథా సంపుటం,1973-01-01
293,రేవనూరి శమంత,హునేన్ సాగర్ కధలు,కథా సంపుటం,1970-01-01
294,రేవనూరి శమంత,హుసేన్ సాగర్,కథా సంపుటం,1966-01-01
295,ఎ జయలక్ష్మిరాజు,అమ్మానాన్న ఓ సుశీల,కథా సంపుటం,2010-04-26
296,ఎ జయలక్ష్మిరాజు,పొగబండి నేస్తం,కథా సంపుటం,2004-01-01
297,ఎమ్ జానకిరాం,పరిష్కారం(జానకి రాం),కథా సంపుటం,1989-01-01
298,వాడ్రేవు రమాదేవి,జిగీష,కథా సంపుటం,2003-01-01
299,నార్ల వెంకటేశ్వరరావు,కదంబం(నార్ల),కథా సంపుటం,1976-01-01
300,నార్ల వెంకటేశ్వరరావు,పిచ్చాపాటీ,ఫీచర్,1951-01-01
301,నార్ల వెంకటేశ్వరరావు,మాటామంతీ,ఫీచర్,1951-01-01
302,ఎమ్ హేమలత,అమ్మకు అభినందనలు,కథా సంపుటం,2007-01-01
303,ఎమ్ హేమలత,ఎమ్. హేమలత కథలు,కథా సంపుటం,2000-01-01
304,చావలి వెంకటశాస్త్రి,షిఫాన్ సుందరి,కథా సంపుటం,1985-01-01
305,పాట్నీడి చక్రరావు,కథాచక్రం,కథా సంపుటం,1997-01-01
306,ఎస్ ఎస్ ఎస్ ఎస్ రాజు,నాలుగెస్సులరాజు కథలు,కథా సంపుటం,2013-03-01
307,నార్ల చిరంజీవి,నార్ల చిరంజీవి కథలు,కథా సంపుటం,1990-01-01
308,ఇల్లిందల సరస్వతీదేవి,తులసి దళాలు 1,కథా సంపుటం,1994-01-01
309,ఇల్లిందల సరస్వతీదేవి,తులసి దళాలు 2,కథా సంపుటం,1994-01-01
310,ఇల్లిందల సరస్వతీదేవి,తులసి దళాలు 3,కథా సంపుటం,1994-01-01
311,ఇల్లిందల సరస్వతీదేవి,ముత్యాల మనసు,కథా సంపుటం,1962-01-01
312,ఇల్లిందల సరస్వతీదేవి,రాజహంసలు,కథా సంపుటం,1987-01-01
313,ఇల్లిందల సరస్వతీదేవి,స్వర్ణకమలాలు,కథా సంపుటం,1981-10-01
314,ఆలపాటి లక్ష్మీనరసింహారావు,గడ్డిపరక,కథా సంపుటం,1982-01-01
315,కెం మునిరాజు,జతగాళ్లు కతగాళ్లు(హోసూరు),వరస కథలు,2012-02-01
316,నవీన్,అస్మదీయులు తస్మదీయులు,కథా సంపుటం,2011-12-01
317,నవీన్,ఎనిమిదో అడుగు,కథా సంపుటం,1999-01-01
318,నవీన్,నిష్కృతి,కథా సంపుటం,2007-01-01
319,నవీన్,ఫ్రం ఆనూరాధ....,కథా సంపుటం,2003-01-01
320,నవీన్,బంధితులు,కథా సంపుటం,2009-12-01
321,నవీన్,లైఫ్ ఇన్ ఎ కాలేజి,కథా సంపుటం,1988-01-01
322,దేవరకొండ చిన్నకృష్ణశర్మ,దేవరకొండ చిన్నకృష్ణశర్మ కథలు,కథా సంపుటం,1971-01-01
323,సబ్బని లక్ష్మీనారాయణ,అతని అక్షరం మీద,కథా సంపుటం,2008-03-01
324,నెల్లూరి కేశవస్వామి,చార్మినార్ కథలు,కథా సంపుటం,1981-01-01
325,నెల్లూరి కేశవస్వామి,పసిడి బొమ్మ,కథా సంపుటం,1969-08-01
326,మృణాళిని,నిశ్శబ్ద విప్లవాలు,ఫీచర్,2003-08-01
327,మృణాళిని,ప్రతిధ్వని,ఫీచర్,2003-01-01
328,పుచ్చా భార్గవరామోజి,పలుకే బంగారం,కథా సంపుటం,2002-09-01
329,సోమసుందరం,ఒంటరి శరీరం,కథా సంపుటం,2009-12-01
330,సోమసుందరం,చదరపుఏనుగు,కథా సంపుటం,2006-08-01
331,సోమసుందరం,రాణీగారి కథలు,కథా సంపుటం,2008-12-01
332,సోమసుందరం,రెక్కల హరివిల్లు,కథా సంపుటం,2011-12-01
333,వాసిరెడ్డి నారాయణరావు,మట్టి బొమ్మలు(వనశ్రీ),కథా సంపుటం,1960-01-01
334,వాసిరెడ్డి నారాయణరావు,రత్నగర్భ,కథా సంపుటం,1961-01-01
335,వాసిరెడ్డి నారాయణరావు,శ్రీవారి శ్రమదానం,కథా సంపుటం,1962-11-01
336,బెజ్జారపు వినోద్ కుమార్,గవ్వలమూట,కథా సంపుటం,2003-01-01
337,వేదుల చిన్నవెంకటచయనులు,తిక్కశంకరయ్య,వరస కథలు,1998-01-01
